op,src_dtype,dst_dtype,shape_path,vf_impl_kind,tail_kind,op_params,formula_kind,param0,param1,param2,param3
TCVT,fp32,fp16,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,1.3196721,52.295082,0,0
TCVT,fp32,fp16,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,1.3196721,52.295082,0,0
TCVT,fp32,fp16,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,2.2580054,1.0422433,55.18408,0
TCVT,fp32,fp16,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,2.2580054,1.0422433,55.18408,0
TCVT,fp16,hif8,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,1.3196721,53.295082,0,0
TCVT,fp16,hif8,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,1.3196721,53.295082,0,0
TCVT,fp16,hif8,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,1.2897558,1.7846223,52.472637,0
TCVT,fp16,hif8,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,1.2897558,1.7846223,52.472637,0
TCVT,fp32,fp8_e4m3,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,fp8_e4m3,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,fp8_e4m3,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp32,fp8_e4m3,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp32,fp8_e5m2,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,fp8_e5m2,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,fp8_e5m2,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp32,fp8_e5m2,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp32,hif8,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,hif8,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,12.319672,55.295082,0,0
TCVT,fp32,hif8,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp32,hif8,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,87.638195,-30.013071,7.6069652,0
TCVT,fp8_e4m3,fp32,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,fp8_e4m3,fp32,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,fp8_e4m3,fp32,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,fp8_e4m3,fp32,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,fp8_e5m2,fp32,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,fp8_e5m2,fp32,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,fp8_e5m2,fp32,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,fp8_e5m2,fp32,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,hif8,fp32,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,hif8,fp32,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,3.9344262,81.016393,0,0
TCVT,hif8,fp32,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,hif8,fp32,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,5.1631615,-1.7589326,69.099502,0
TCVT,bf16,fp4_e1m2,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,12.42623,55.393443,0,0
TCVT,bf16,fp4_e1m2,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,12.42623,55.393443,0,0
TCVT,bf16,fp4_e1m2,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,87.72924,-29.743917,7.0348259,0
TCVT,bf16,fp4_e1m2,2D,POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,nested_loop,87.72924,-29.743917,7.0348259,0
TCVT,bf16,fp4_e2m1,1D,NO_POST_UPDATE,full,CAST_RINT_SAT_ON_normal,linear,12.42623,55.393443,0,0
TCVT,bf16,fp4_e2m1,1D,NO_POST_UPDATE,tail,CAST_RINT_SAT_ON_normal,linear,12.42623,55.393443,0,0
TCVT,bf16,fp4_e2m1,2D,POST_UPDATE,full,CAST_RINT_SAT_ON_normal,nested_loop,87.72924,-29.743917,7.0348259,0
